millis,block_temp_1,block_temp_2,block_temp_mean,temp_cap,block_gradient,cap_gradient,l_btn,r_btn,H70_pwm,H50_pwm,H_CAP_pwm,H70_act,H50_act,H_CAP_act,FAN_act,AZ_5,target_temp_block,target_temp_cap,heat_act
935374,94.75,93.75,94.25,109.75,0.03,-0.04,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
936078,95.25,93.00,94.12,109.50,0.07,0.07,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
936779,95.00,93.75,94.37,110.25,0.07,-0.04,0,0,0,0,100,1,1,1,0,0,95.00,110.00,1
937477,95.50,93.75,94.62,110.25,0.03,0.07,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
938175,95.50,94.00,94.75,110.00,0.18,0.03,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
938874,95.50,93.75,94.62,110.50,0.14,-0.00,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
939573,95.50,93.50,94.50,110.50,0.07,-0.00,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
940274,95.25,93.75,94.50,110.25,0.18,0.14,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
940971,95.00,93.50,94.25,110.25,0.07,0.07,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
941669,94.75,93.25,94.00,109.50,-0.04,0.04,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
942374,95.00,93.75,94.37,109.50,0.03,-0.04,0,0,100,100,100,1,1,1,0,0,95.00,110.00,1
943075,95.00,93.00,94.00,110.00,0.03,-0.04,0,0,0,0,100,1,1,1,0,0,95.00,110.00,1
943773,94.50,93.50,94.00,110.00,-0.04,0.07,0,0,0,0,0,1,1,1,0,0,95.00,110.00,1
944481,94.75,93.50,94.12,110.00,-0.07,-0.04,0,0,100,100,0,1,1,1,0,0,95.00,110.00,1
945185,94.75,92.75,93.75,110.00,-0.11,-0.04,0,0,100,100,0,1,1,1,0,0,95.00,110.00,1
945889,94.75,93.00,93.87,110.00,-0.11,-0.00,0,0,100,100,0,1,1,1,0,0,95.00,110.00,1
